Trial,TrialSeed,MatrixInitializationSeed,Completed,ElapsedSeconds,HuberDelta,CP_WOPT,Petrels,Grasta,Grouse,TeCPSGD,OLSTEC_70,OLSTEC_80,OLSTEC_90,OLSTEC_99,RSI_OLSTEC
1,1001,40001,1,1524.0053579,0.1,0.184681412902311,0.0549710748959331,0.122294969742251,1.00144102735645,0.173357097980006,0.05710006080864,0.0553279220701941,0.0534393113628292,0.0634274629374775,0.0499315265592827
2,1002,40002,1,1511.2302929,0.1,0.183959188868985,0.0545991768678238,0.121457666506808,1.00126069315019,0.173310980300415,0.0587441691413407,0.0540801765526272,0.0511880351107529,0.062896683505944,0.0500629176305949
3,1003,40003,1,1502.0513419,0.1,0.183135005519062,0.0547406051849034,0.120998537360812,1.00138254378279,0.173325396514152,0.0587602273292595,0.053910761255259,0.0525483859380767,0.0638620250903569,0.049788443622771
4,1004,40004,1,1481.3032901,0.1,0.18303578322042,0.0545574161287061,0.121651608150669,1.00158807966204,0.173464670122447,0.057128516074456,0.0521541832326941,0.0518138231933142,0.0633032808828246,0.0498528045950458
5,1005,40005,1,1486.0706997,0.1,0.182934928592613,0.0545412169501868,0.12165914836201,1.00160403112252,0.173409162551789,0.0572500783243805,0.0540768433559416,0.0512420980871422,0.0641055779809778,0.0499756661898601
6,1006,40006,1,1490.7999452,0.1,0.182635498513915,0.0545609853825594,0.121522073578237,1.00171024160842,0.173269196312728,0.0604861319978897,0.0540537123939755,0.0516511745317325,0.0631856148423033,0.0498368722877714
7,1007,40007,1,1499.6177587,0.1,0.183852338652367,0.0546453090879204,0.122086063464118,1.0016570290882,0.173560953936986,0.0605818449442746,0.0542238633842241,0.0519807293278205,0.0638169458560878,0.0504581443487634
8,1008,40008,1,1508.2590132,0.1,0.178247067200474,0.0546368706674358,0.121829480185657,1.00151911455032,0.173284066917649,0.062579036647051,0.0559803362881314,0.0528591413332713,0.0627143935277544,0.0499216470114276
9,1009,40009,1,1478.4048405,0.1,0.183389511668319,0.0543988530818413,0.120984910233775,1.00155168663131,0.173296250267221,0.0571541662822321,0.0539465102926841,0.0537289770061575,0.0624757441809352,0.0500537064352938
10,1010,40010,1,1493.2360757,0.1,0.183091683245213,0.0546354768732472,0.121007198267019,1.00158567395339,0.173336912814528,0.0587369246852602,0.0551912276918581,0.0526892440851819,0.0624490467059517,0.0498763201908718
11,1011,40011,1,1480.2037785,0.1,0.183214736321774,0.0545024404410652,0.120758878387418,1.0014818014757,0.173351589437276,0.0586812646484653,0.0539188992049172,0.0526261001136117,0.0626496170424538,0.0499168535276101
12,1012,40012,1,1496.2740923,0.1,0.183258359811242,0.0544766769589738,0.121394710496754,1.00159119739974,0.173429090411213,0.0603860653068088,0.052096979761569,0.0527400457354392,0.063235887263258,0.0498375649212949
13,1013,40013,1,1522.8076149,0.1,0.185389505516045,0.0543227322416935,0.121398908072739,1.00149845387893,0.173352569791685,0.0603639115224597,0.0549735672101029,0.052760086518451,0.063093746838491,0.0498427558399733
14,1014,40014,1,1495.9591498,0.1,0.182854983816933,0.0544992659371299,0.12140525643391,1.0016024625718,0.173470812069755,0.0587643166078177,0.0530988430557193,0.0509723173826056,0.0636242614982606,0.0498350107276231
15,1015,40015,1,1502.8171065,0.1,0.183195370738647,0.0545792242321078,0.12123851430486,1.00166632685889,0.173421432239983,0.0585131867786925,0.0539099373677133,0.0517404429815832,0.0629424712767456,0.0497245799130929
16,1016,40016,1,1500.6085712,0.1,0.183411748507345,0.0544673484949017,0.121084859885378,1.00157273694276,0.173367817640961,0.0569537016415301,0.0539116132294146,0.0510128830096718,0.0637864324863866,0.0496641449364892
17,1017,40017,1,1496.2799326,0.1,0.18315966274402,0.0542913739184598,0.120732093492856,1.00157095912556,0.173377888951718,0.0549704356006417,0.0538631912056667,0.0511614270133941,0.0633860943773864,0.0497889368367717
18,1018,40018,1,1494.3353249,0.1,0.182604432077386,0.0547560313451423,0.120782170278913,1.0015175684177,0.17328103875122,0.060384332055328,0.0540275924208901,0.0546333263270982,0.0640422845997258,0.0498917906021356
19,1019,40019,1,1505.0046031,0.1,0.183275703436581,0.0545113649002676,0.121439845304161,1.00157698365311,0.17339782356835,0.0570543548963211,0.0539300974113017,0.0516869727185927,0.0624076914724112,0.0496416018839109
20,1020,40020,1,1507.7963944,0.1,0.183751175218192,0.05461807498808,0.121704350991894,1.00158382529746,0.173307669673583,0.0560585100307546,0.0549732659463962,0.0520009678604971,0.0625130375431859,0.050048881169655
21,1021,40021,1,1496.7504491,0.1,0.183531598877371,0.0546178303297567,0.12226628309594,1.00157819901448,0.1735015870746,0.0586137565220856,0.0551748204600322,0.0514513351892672,0.0633788456651583,0.0500650612494383
22,1022,40022,1,1515.3244651,0.1,0.18381613344139,0.0546503327004251,0.121248213636639,1.00160355165124,0.173404104476135,0.0563078332241982,0.0540383996871093,0.0526991487271491,0.062391538553557,0.0499075097500004
23,1023,40023,1,1497.1676427,0.1,0.183067704197668,0.0547473582877721,0.120999374355744,1.00151203538523,0.173275126820532,0.0605232856892702,0.0530490728092865,0.0526595719903319,0.0634555876112057,0.0498113710915446
24,1024,40024,1,1509.4553605,0.1,0.147332741074904,0.0544930938508662,0.120874638571132,1.00134037143423,0.173349109835289,0.0585496019664879,0.0531085986097473,0.0517309688650214,0.063760623224527,0.0497692225658258
25,1025,40025,1,1491.6253992,0.1,0.183228147258997,0.0546364629505827,0.121381818438703,1.00176140899967,0.173282816638263,0.0569824906071665,0.0530096591647752,0.051700590862488,0.0632317983347712,0.0498471378516209
26,1026,40026,1,1494.1319032,0.1,0.183674071404273,0.054518203026641,0.120975006295599,1.00154863150178,0.173302060617879,0.0561326943737731,0.0529244307230993,0.0518561144415234,0.0621983363395331,0.0496957956195643
27,1027,40027,1,1499.9952493,0.1,0.182963798284583,0.054439840994313,0.121580771893293,1.00136358701578,0.173354431299982,0.0624538452544832,0.0552042353371183,0.0534962353331003,0.0638000857253111,0.0498867036275314
28,1028,40028,1,1521.7959573,0.1,0.184422716047468,0.0545443391021195,0.121692517532448,1.00160691351462,0.173303567888015,0.0585547624155664,0.0549531509338134,0.0509933643605409,0.0628545999764704,0.0497682715912448
29,1029,40029,1,1515.5476812,0.1,0.183601472984871,0.0547725409006966,0.12109762388851,1.0014175804093,0.173441314685675,0.0586985624418881,0.0540257268769285,0.0526236307023581,0.0633572235274451,0.0500303151485393
30,1030,40030,1,1494.3212055,0.1,0.183093151779885,0.0545543638513024,0.121182656095159,1.00151670850103,0.173468735377518,0.0569186809241722,0.0522101339759853,0.0536853309818463,0.0622658226575155,0.0498677907526812
31,1031,40031,1,1489.7906058,0.1,0.183065683832054,0.0546471706920655,0.120411603515763,1.00150799339486,0.173304414225208,0.0570776272914945,0.0539927442855599,0.0528085175232156,0.0631878520708887,0.0499564951937762
32,1032,40032,1,1506.2111773,0.1,0.184845867467001,0.0546847516207715,0.121224372274187,1.00142751694896,0.173321299698859,0.0603003874700188,0.0521124561614207,0.0521880610571197,0.063512011279775,0.0497872974456697
33,1033,40033,1,1504.5896891,0.1,0.182444210011479,0.0543131610324195,0.121581543047395,1.00156056510511,0.173291614384216,0.0606414623081561,0.0560766605557941,0.0521513058463276,0.0641127293305787,0.0498946050743715
34,1034,40034,1,1504.5987656,0.1,0.183607443455229,0.0544710481415696,0.121422089125806,1.00165254431563,0.173385503688056,0.0572128784183624,0.0549731381617374,0.0520023674354772,0.0632038377305157,0.0498875812038343
35,1035,40035,1,1515.3225006,0.1,0.183760755937116,0.0547051501563113,0.121778371686579,1.00137610300203,0.17337854955758,0.0588107944013565,0.0540224001429469,0.0522703721620929,0.0635234290724331,0.0499904649948948
36,1036,40036,1,1499.2549747,0.1,0.182886970246174,0.0542766050773655,0.120853541353589,1.00166610971273,0.17337390382704,0.0604631466719417,0.0552060334136948,0.0536340420678015,0.064173697171507,0.0498248375169365
37,1037,40037,1,1492.9358652,0.1,0.18153118782691,0.0543472200405895,0.120890997267792,1.00149444435426,0.173295307425905,0.0606001796805938,0.056007030505219,0.0526754224185536,0.0629369979379865,0.0498445148568492
38,1038,40038,1,1500.4757146,0.1,0.182920548122335,0.0542983967305256,0.120985027406062,1.00151938996364,0.173390024970629,0.0562305710337797,0.0532147291022453,0.0512730740572954,0.063490123107782,0.0502423675745062
39,1039,40039,1,1492.8183418,0.1,0.17633828758066,0.0549364375752401,0.121131853887374,1.00151529684814,0.173438251658058,0.0604378947476933,0.0552817518155272,0.0521045257442032,0.0636524323537256,0.0499455726694609
40,1040,40040,1,1510.501147,0.1,0.183720108486815,0.0547184931024062,0.120508714209634,1.00154511840683,0.17329347984027,0.058623620804683,0.0559485638464226,0.0536662225605075,0.0634893677516904,0.049823901657082
41,1041,40041,1,1498.5509433,0.1,0.183129149359154,0.0547463817216598,0.121162987793955,1.00129971040609,0.173321098733261,0.0571221671883765,0.0576874139119767,0.0535389648616424,0.0632803389680389,0.0498824251024729
42,1042,40042,1,1489.7819484,0.1,0.183128519190343,0.0543104471999848,0.121582173575775,1.00158011040792,0.173332695753548,0.0604115472733682,0.0551723391538378,0.0537092241778902,0.0631094535090933,0.0497373254481211
43,1043,40043,1,1494.0081355,0.1,0.183029377472746,0.0546526327770636,0.121840007131149,1.00157368312028,0.173379472299608,0.0587877582873347,0.056067339641852,0.0519355272338076,0.0639790715792923,0.0499531295642689
44,1044,40044,1,1504.5241448,0.1,0.183672445591914,0.0549549750400155,0.121811773309381,1.00153632338673,0.173367090562298,0.0589190003704899,0.0552169123573328,0.0511461128489283,0.0636878132178612,0.049985543750374
