Algorithm,MeanLateWindowNRE,StdLateWindowNRE,ValidTrials,RecordedFailures,TotalTrials
CP_WOPT,0.182412001686281,0.00524837374808532,50,0,50
Petrels,0.0545735569681262,0.000166405441043373,50,0,50
Grasta,0.121309874911559,0.000427039876691572,50,0,50
Grouse,1.00153627252385,0.000106520754174352,50,0,50
TeCPSGD,0.1733617173185,7.13603666886669e-05,50,0,50
OLSTEC_70,0.0586326011813215,0.00170861444742794,50,0,50
OLSTEC_80,0.0543349140641886,0.00118457664869272,50,0,50
OLSTEC_90,0.0522408418754224,0.000931294094889578,50,0,50
OLSTEC_99,0.0632608598837288,0.000531887389789545,50,0,50
RSI_OLSTEC,0.0498967026450036,0.000145481817349208,50,0,50
