algorithm,time_sec,final_metric_err,final_metric_run_avg,lambda_value,is_representative,lambda_mean,lambda_below_max_pct
CP-WOPT (Batch),244.2479126,0.192969545353996,NaN,NaN,0,NaN,NaN
TeCPSGD,132.3597374,0.183883619247219,0.226493402427452,NaN,0,NaN,NaN
Petrels,151.4244012,0.0729552900876052,0.087328437740352,NaN,0,NaN,NaN
Grouse,135.2834494,1.00080491102409,1.00139384997512,NaN,0,NaN,NaN
Grasta,139.7906765,0.123268231350162,0.19030526662354,NaN,0,NaN,NaN
OLSTEC (lam=0.70),141.9831515,0.070758633987143,0.0624651971475747,0.7,0,NaN,NaN
OLSTEC (lam=0.80),140.2871611,0.0636692713197717,0.0560921508524316,0.8,1,NaN,NaN
OLSTEC (lam=0.90),143.5901276,0.0631441280803707,0.053104269707382,0.9,0,NaN,NaN
OLSTEC (lam=0.99),143.790161,0.0864677117963781,0.0644045631657416,0.99,0,NaN,NaN
RSI-OLSTEC (Ours),147.841172,0.0573558688915841,0.0524899494523934,NaN,1,0.79965205703663,0.498338870431894
