BaselineAlgorithm,ReferenceAlgorithm,ObservationRatio,Metric,TotalTrials,BaselineValidTrials,ReferenceValidTrials,ValidPairs,BaselineFailures,ReferenceFailures,MeanBaselineNRE,MeanReferenceNRE,MeanBaselineMinusReferenceNRE,MedianBaselineMinusReferenceNRE,BaselineMinusReferenceCILower,BaselineMinusReferenceCIUpper,ReferenceLowerNREFraction,CILevel,BootstrapResamples,BootstrapSeed,CIMethod
CP_WOPT,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.177634785185631,0.0440070926222283,0.133627692563403,0.133302150593385,0.133384385332331,0.133915214965804,1,0.95,10000,20261729,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.112213888504005,0.0440070926222283,0.0682067958817772,0.0681942039548427,0.0681590078778882,0.0682550838014883,1,0.95,10000,20261730,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.101186555436629,0.0440070926222283,0.0571794628144005,0.0571817752935962,0.0571544049287244,0.0572055844725532,1,0.95,10000,20261731,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.999909407239638,0.0440070926222283,0.955902314617409,0.955904313975336,0.955876761693241,0.955926827306903,1,0.95,10000,20261732,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.143611413508128,0.0440070926222283,0.0996043208858998,0.0954449344364023,0.0953700154699903,0.104153430624646,1,0.95,10000,20261733,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0698606627575443,0.0440070926222283,0.025853570135316,0.0259102067213686,0.0257087213128048,0.0259915420913091,1,0.95,10000,20261734,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0618717929025337,0.0440070926222283,0.0178647002803055,0.0180275580361436,0.0176893712580145,0.0180323622057665,1,0.95,10000,20261735,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0561054259873512,0.0440070926222283,0.012098333365123,0.0120981386133453,0.0120288638113548,0.012170109764209,1,0.95,10000,20261736,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0613179273988541,0.0440070926222283,0.0173108347766259,0.0173649366366561,0.0172404488950266,0.0173789532739936,1,0.95,10000,20261737,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.172137753810404,0.0444974811902482,0.127640272620155,0.13226430084063,0.124112241804742,0.130516725879738,1,0.95,10000,20261738,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.11668930045189,0.0444974811902482,0.0721918192616414,0.0722085801475301,0.0721401811517562,0.0722448747688025,1,0.95,10000,20261739,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.111334352398609,0.0444974811902482,0.0668368712083603,0.0668326359548224,0.0668049550602358,0.0668697874669381,1,0.95,10000,20261740,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,1.00002535700622,0.0444974811902482,0.955527875815967,0.955539929480224,0.955503694964091,0.955550495274986,1,0.95,10000,20261741,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.164370537882807,0.0444974811902482,0.119873056692559,0.129247018585454,0.115507332465999,0.123925970328426,1,0.95,10000,20261742,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0794372052694244,0.0444974811902482,0.0349397240791762,0.0349609861848274,0.0347961628289888,0.0350818735822279,1,0.95,10000,20261743,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0696015684667598,0.0444974811902482,0.0251040872765116,0.0251265791142285,0.0249473465756722,0.0252643844691682,1,0.95,10000,20261744,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.059768376386388,0.0444974811902482,0.0152708951961398,0.0152608724217613,0.0151175101100587,0.0154228758367697,1,0.95,10000,20261745,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0621484709600907,0.0444974811902482,0.0176509897698425,0.0176524233814684,0.0175797391833645,0.0177252829656522,1,0.95,10000,20261746,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.164601786695902,0.0456486323542054,0.118953154341696,0.130796879432718,0.11402708421471,0.123490584596114,1,0.95,10000,20261747,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.120541620438973,0.0456486323542054,0.0748929880847676,0.0748407207604933,0.0748297238431055,0.074957752031355,1,0.95,10000,20261748,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.131598967042298,0.0456486323542054,0.0859503346880928,0.0859604149658554,0.0859088875914415,0.085992124721502,1,0.95,10000,20261749,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,1.00029634529452,0.0456486323542054,0.954647712940316,0.95464944196467,0.954623236200192,0.954672441745003,1,0.95,10000,20261750,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.171447650274924,0.0456486323542054,0.125799017920719,0.127509473510387,0.122645510869302,0.128384237381191,1,0.95,10000,20261751,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0950427956322415,0.0456486323542054,0.0493941632780361,0.0494434026958339,0.0492213212063527,0.049552049955237,1,0.95,10000,20261752,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0839321743679179,0.0456486323542054,0.0382835420137125,0.0383409966444025,0.038059903130376,0.038496457819928,1,0.95,10000,20261753,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0697547415385115,0.0456486323542054,0.0241061091843061,0.0242255083506943,0.0238204297265014,0.0243904388538353,1,0.95,10000,20261754,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0642241973863375,0.0456486323542054,0.0185755650321321,0.0184848621346608,0.0184542191081246,0.0186985931546911,1,0.95,10000,20261755,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.17725227098872,0.0522748526879253,0.124977418300795,0.124955203490331,0.124764252964339,0.125190630434806,1,0.95,10000,20261756,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.127967221137138,0.0522748526879253,0.075692368449213,0.0757473864843171,0.0755921227361479,0.075790048742093,1,0.95,10000,20261757,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.203105393369518,0.0522748526879253,0.150830540681592,0.150690054858585,0.150652496511574,0.151014831689518,1,0.95,10000,20261758,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,1.00165921837031,0.0522748526879253,0.949384365682384,0.949377696415051,0.949343182491529,0.949426481505467,1,0.95,10000,20261759,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.202368546279805,0.0522748526879253,0.15009369359188,0.150955815437276,0.145100806216806,0.155559941630952,1,0.95,10000,20261760,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.122883522754552,0.0522748526879253,0.070608670066627,0.0705785852645895,0.0704327913588521,0.0707806165824397,1,0.95,10000,20261761,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.113740262952123,0.0522748526879253,0.0614654102641981,0.0615616455584755,0.0612677716774582,0.0616565050426521,1,0.95,10000,20261762,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0992188404287819,0.0522748526879253,0.0469439877408566,0.0471352629658997,0.0465869745681688,0.0473023624714788,1,0.95,10000,20261763,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,50,50,50,50,0,0,0.0775485597616491,0.0522748526879253,0.0252737070737238,0.0252719236470087,0.0249344433206496,0.0256182402965294,1,0.95,10000,20261764,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.198066735752369,0.0508320526178548,0.147234683134514,0.146905412834194,0.146864130757085,0.147628784548898,1,0.95,10000,20261765,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.158165867015387,0.0508320526178548,0.107333814397532,0.107596625245234,0.104792085013598,0.109928163250864,1,0.95,10000,20261766,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.109192575161238,0.0508320526178548,0.0583605225433833,0.0583129159894433,0.0581005862030652,0.0586319326089444,1,0.95,10000,20261767,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.999908526701651,0.0508320526178548,0.949076474083796,0.949088543646999,0.949016593871817,0.94913496370195,1,0.95,10000,20261768,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.136318896342429,0.0508320526178548,0.0854868437245747,0.0776150785186143,0.0807180736867146,0.0908640677529338,1,0.95,10000,20261769,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0799184075049715,0.0508320526178548,0.0290863548871167,0.029205327936902,0.0282886600495887,0.0298508056857838,1,0.95,10000,20261770,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0725263323003853,0.0508320526178548,0.0216942796825305,0.0212570077059659,0.0212395586904828,0.0221750719235173,1,0.95,10000,20261771,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0710793723215747,0.0508320526178548,0.0202473197037199,0.0201354395688985,0.0199940133566674,0.0205029113741598,1,0.95,10000,20261772,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.7,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0948870123247226,0.0508320526178548,0.0440549597068678,0.0441702202841961,0.0433648580578222,0.0447366664052518,1,0.95,10000,20261773,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,0.191728745108295,0.0514556882282801,0.140273056880015,0.14570374386971,0.136878059265131,0.143359483477594,1,0.95,10000,20261774,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,0.161120822455056,0.0514556882282801,0.109665134226776,0.108110675593749,0.108011529363538,0.111276304473138,1,0.95,10000,20261775,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,0.119993860904072,0.0514556882282801,0.0685381726757919,0.0684961172967312,0.0681684279178171,0.068916535230685,1,0.95,10000,20261776,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,1.00003733257445,0.0514556882282801,0.948581644346175,0.948622763252045,0.948516623645991,0.948646796534986,1,0.95,10000,20261777,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,0.162459246165912,0.0514556882282801,0.111003557937632,0.125521946369718,0.104818070636021,0.117116063330906,1,0.95,10000,20261778,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0922005217198333,0.0514556882282801,0.0407448334915531,0.0412373127816923,0.039638116586261,0.0418553109403114,1,0.95,10000,20261779,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0816113559249646,0.0514556882282801,0.0301556676966845,0.02886884193019,0.029114667367077,0.0312700802310518,1,0.95,10000,20261780,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0751643438600895,0.0514556882282801,0.0237086556318093,0.0235358579432124,0.0233416867944474,0.0240961085933625,1,0.95,10000,20261781,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.5,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0947401999907842,0.0514556882282801,0.0432845117625041,0.043411160987307,0.042576434699431,0.0439679592386118,1,0.95,10000,20261782,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,0.187096854338221,0.0530614892205337,0.134035365117687,0.143690245711896,0.129514413694232,0.138147176479036,1,0.95,10000,20261783,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,0.161456704168448,0.0530614892205337,0.108395214947914,0.109184460035532,0.107099708326068,0.109674457452995,1,0.95,10000,20261784,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,0.138321617293824,0.0530614892205337,0.08526012807329,0.0850917136729572,0.0848142648023941,0.0857077397160774,1,0.95,10000,20261785,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,1.0003061868435,0.0530614892205337,0.947244697622963,0.947278438715172,0.94711633940359,0.947372568558568,1,0.95,10000,20261786,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,0.176154555315161,0.0530614892205337,0.123093066094627,0.125822392622919,0.119466245843917,0.125850392629229,1,0.95,10000,20261787,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,0.112028238227153,0.0530614892205337,0.0589667490066193,0.0586360073792266,0.0570187142124243,0.0609611020711906,1,0.95,10000,20261788,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0986661621854176,0.0530614892205337,0.0456046729648839,0.0451743083316608,0.0438580841384452,0.0473734729943294,1,0.95,10000,20261789,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0866640166964719,0.0530614892205337,0.0336025274759382,0.0330646185495626,0.0324006243150271,0.0348809638022426,1,0.95,10000,20261790,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.3,FinalFrameReferenceNRE,50,50,50,50,0,0,0.0939257066919379,0.0530614892205337,0.0408642174714042,0.0406422583500664,0.0399838171178832,0.0417548450032391,1,0.95,10000,20261791,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,0.197769708162242,0.0616130449889895,0.136156663173253,0.136000387361151,0.135345662338207,0.137028734590714,1,0.95,10000,20261792,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,0.15811284532201,0.0616130449889895,0.0964998003330209,0.0966162109349204,0.0952442790992917,0.0977103659560784,1,0.95,10000,20261793,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,0.188858732595725,0.0616130449889895,0.127245687606735,0.127182458026448,0.126371047669257,0.128124244713614,1,0.95,10000,20261794,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,1.00167754355693,0.0616130449889895,0.940064498567938,0.940002129441639,0.939765495788781,0.940361390804379,1,0.95,10000,20261795,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,0.184717470859742,0.0616130449889895,0.123104425870753,0.123194980159493,0.122858017119786,0.123349852753004,1,0.95,10000,20261796,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,0.140406947503255,0.0616130449889895,0.0787939025142653,0.0774580247314715,0.0756753778193736,0.0820710535059672,1,0.95,10000,20261797,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,0.13332884248194,0.0616130449889895,0.0717157974929506,0.0683962282047486,0.0682500335669018,0.075440995394699,1,0.95,10000,20261798,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,0.121525879887723,0.0616130449889895,0.0599128348987335,0.0591259301436997,0.0573325758527819,0.0624869087312266,1,0.95,10000,20261799,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.1,FinalFrameReferenceNRE,50,50,50,50,0,0,0.104835013396994,0.0616130449889895,0.0432219684080047,0.0428657358906981,0.0420471779779568,0.0443910130315779,1,0.95,10000,20261800,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.185736617644894,0.0449205652048092,0.140816052440085,0.14048023101277,0.140568792741833,0.141105814086823,1,0.95,10000,20261801,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.132320862385665,0.0449205652048092,0.087400297180856,0.0873312390556243,0.0871397104449631,0.0876696138166094,1,0.95,10000,20261802,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.102789792653521,0.0449205652048092,0.057869227448712,0.0578690015054225,0.0577974123410648,0.0579433272842847,1,0.95,10000,20261803,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.999912614042695,0.0449205652048092,0.954992048837886,0.95499748464572,0.954968564401761,0.955015570543101,1,0.95,10000,20261804,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.128259254963802,0.0449205652048092,0.0833386897589931,0.0747900760611499,0.0780774079993411,0.0892153434322868,1,0.95,10000,20261805,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0730135046492017,0.0449205652048092,0.0280929394443926,0.0280549898323194,0.0279638345549786,0.0282314364574442,1,0.95,10000,20261806,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0641925697193384,0.0449205652048092,0.0192720045145292,0.0193006132794514,0.0191126275592009,0.0194263224774444,1,0.95,10000,20261807,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.058204844300666,0.0449205652048092,0.0132842790958568,0.0132390025169619,0.0132157066730331,0.0133522005243975,1,0.95,10000,20261808,percentile_bootstrap_linear_quantile
