Algorithm,Trial,ObservationRatio,Status,MaskSeed,SpatterSeed,TensorInitializationSeed,MatrixInitializationSeed,ExecutionSeed,ActualObservationRatio,RealizedSpatterDensity,EffectiveChangedPixelDensity,HuberDelta,AccuracyEvaluationRuntimeSeconds,PostCalibrationMeanReferenceNRE,FinalFrameReferenceNRE,LateWindowMeanReferenceNRE
CP_WOPT,1,0.7,successful,10001,20001,30001,40001,500101,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,321.9917347,0.177191455056629,0.197407299640218,0.18510066835257
Petrels,1,0.7,successful,10001,20001,30001,40001,500102,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,233.2154844,0.11232500588293,0.149509654381535,0.131776702962467
Grasta,1,0.7,successful,10001,20001,30001,40001,40001,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,143.767905,0.101331026305908,0.110407592739932,0.10304317397907
Grouse,1,0.7,successful,10001,20001,30001,40001,500104,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,139.4832474,0.999767088268741,0.999702843177397,0.99975449400614
TeCPSGD,1,0.7,successful,10001,20001,30001,40001,500105,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,133.8584559,0.137017619253667,0.128473948969614,0.119713908686378
OLSTEC_70,1,0.7,successful,10001,20001,30001,40001,500106,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,154.5871536,0.0702652672276018,0.0823742693681797,0.0732138683192226
OLSTEC_80,1,0.7,successful,10001,20001,30001,40001,500107,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,155.3483921,0.0625894378306042,0.0736281751959314,0.0644866974086812
OLSTEC_90,1,0.7,successful,10001,20001,30001,40001,500108,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,154.7281308,0.0562658925656103,0.0716797328972887,0.0581406118818961
OLSTEC_99,1,0.7,successful,10001,20001,30001,40001,500109,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,155.2911814,0.0615387845291292,0.0941531642341691,0.0672680737655977
RSI_OLSTEC,1,0.7,successful,10001,20001,30001,40001,500110,0.7000612478223,0.0100093501843449,0.0100093501843449,0.1,183.971296,0.0439076549149086,0.0510284723369906,0.0449193269741739
