Trial,MaskSeed,SpatterSeed,TensorInitializationSeed,MatrixInitializationSeed
1,10001,20001,30001,40001
2,10002,20002,30002,40002
3,10003,20003,30003,40003
4,10004,20004,30004,40004
5,10005,20005,30005,40005
6,10006,20006,30006,40006
7,10007,20007,30007,40007
8,10008,20008,30008,40008
9,10009,20009,30009,40009
10,10010,20010,30010,40010
11,10011,20011,30011,40011
12,10012,20012,30012,40012
13,10013,20013,30013,40013
14,10014,20014,30014,40014
15,10015,20015,30015,40015
16,10016,20016,30016,40016
17,10017,20017,30017,40017
18,10018,20018,30018,40018
19,10019,20019,30019,40019
20,10020,20020,30020,40020
21,10021,20021,30021,40021
22,10022,20022,30022,40022
23,10023,20023,30023,40023
24,10024,20024,30024,40024
25,10025,20025,30025,40025
26,10026,20026,30026,40026
27,10027,20027,30027,40027
28,10028,20028,30028,40028
29,10029,20029,30029,40029
30,10030,20030,30030,40030
31,10031,20031,30031,40031
32,10032,20032,30032,40032
33,10033,20033,30033,40033
34,10034,20034,30034,40034
35,10035,20035,30035,40035
36,10036,20036,30036,40036
37,10037,20037,30037,40037
38,10038,20038,30038,40038
39,10039,20039,30039,40039
40,10040,20040,30040,40040
41,10041,20041,30041,40041
42,10042,20042,30042,40042
43,10043,20043,30043,40043
44,10044,20044,30044,40044
45,10045,20045,30045,40045
46,10046,20046,30046,40046
47,10047,20047,30047,40047
48,10048,20048,30048,40048
49,10049,20049,30049,40049
50,10050,20050,30050,40050
