Algorithm,ObservationRatio,Metric,Mean,StandardDeviation,CILower,CIUpper,ValidTrials,FailedTrials,PendingTrials,TotalTrials,CILevel,BootstrapResamples,BootstrapSeed,CIMethod
CP_WOPT,0.7,PostCalibrationMeanReferenceNRE,0.177634785185631,0.000968561855666356,0.177388995055443,0.177919293292816,50,0,0,50,0.95,10000,20260729,percentile_bootstrap_linear_quantile
Petrels,0.7,PostCalibrationMeanReferenceNRE,0.112213888504005,0.000180113270761241,0.112163682630509,0.112262573441255,50,0,0,50,0.95,10000,20260730,percentile_bootstrap_linear_quantile
Grasta,0.7,PostCalibrationMeanReferenceNRE,0.101186555436629,7.61739765055392e-05,0.101165227671565,0.101207400220502,50,0,0,50,0.95,10000,20260731,percentile_bootstrap_linear_quantile
Grouse,0.7,PostCalibrationMeanReferenceNRE,0.999909407239638,6.59143836279796e-05,0.999890697838713,0.999927433410297,50,0,0,50,0.95,10000,20260732,percentile_bootstrap_linear_quantile
TeCPSGD,0.7,PostCalibrationMeanReferenceNRE,0.143611413508128,0.0163602599923941,0.139368183238908,0.148226930541327,50,0,0,50,0.95,10000,20260733,percentile_bootstrap_linear_quantile
OLSTEC_70,0.7,PostCalibrationMeanReferenceNRE,0.0698606627575443,0.00047607866573971,0.0697289939198645,0.0699876319102588,50,0,0,50,0.95,10000,20260734,percentile_bootstrap_linear_quantile
OLSTEC_80,0.7,PostCalibrationMeanReferenceNRE,0.0618717929025337,0.000603906447349003,0.0617012221717516,0.0620330424542547,50,0,0,50,0.95,10000,20260735,percentile_bootstrap_linear_quantile
OLSTEC_90,0.7,PostCalibrationMeanReferenceNRE,0.0561054259873512,0.000213682109635009,0.0560475436166754,0.0561648120679827,50,0,0,50,0.95,10000,20260736,percentile_bootstrap_linear_quantile
OLSTEC_99,0.7,PostCalibrationMeanReferenceNRE,0.0613179273988541,0.000237152650490112,0.061251487646011,0.0613807843621742,50,0,0,50,0.95,10000,20260737,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.7,PostCalibrationMeanReferenceNRE,0.0440070926222283,6.44455121908974e-05,0.0439887445057847,0.0440247601767238,50,0,0,50,0.95,10000,20260738,percentile_bootstrap_linear_quantile
CP_WOPT,0.5,PostCalibrationMeanReferenceNRE,0.172137753810404,0.0116127893874772,0.168799889669254,0.174989212222271,50,0,0,50,0.95,10000,20260739,percentile_bootstrap_linear_quantile
Petrels,0.5,PostCalibrationMeanReferenceNRE,0.11668930045189,0.000192018880962684,0.11663822061576,0.116741992286695,50,0,0,50,0.95,10000,20260740,percentile_bootstrap_linear_quantile
Grasta,0.5,PostCalibrationMeanReferenceNRE,0.111334352398609,0.000112743535175297,0.111304568981867,0.111365637726682,50,0,0,50,0.95,10000,20260741,percentile_bootstrap_linear_quantile
Grouse,0.5,PostCalibrationMeanReferenceNRE,1.00002535700622,6.61338201102657e-05,1.00000588190994,1.00004247726776,50,0,0,50,0.95,10000,20260742,percentile_bootstrap_linear_quantile
TeCPSGD,0.5,PostCalibrationMeanReferenceNRE,0.164370537882807,0.0153929521666082,0.159979542763643,0.168435586969402,50,0,0,50,0.95,10000,20260743,percentile_bootstrap_linear_quantile
OLSTEC_70,0.5,PostCalibrationMeanReferenceNRE,0.0794372052694244,0.000492074893155283,0.0793044846705194,0.0795744618783712,50,0,0,50,0.95,10000,20260744,percentile_bootstrap_linear_quantile
OLSTEC_80,0.5,PostCalibrationMeanReferenceNRE,0.0696015684667598,0.000548667994985494,0.069449430205593,0.0697528420926658,50,0,0,50,0.95,10000,20260745,percentile_bootstrap_linear_quantile
OLSTEC_90,0.5,PostCalibrationMeanReferenceNRE,0.059768376386388,0.000560393452517475,0.0596137505160544,0.0599230864316432,50,0,0,50,0.95,10000,20260746,percentile_bootstrap_linear_quantile
OLSTEC_99,0.5,PostCalibrationMeanReferenceNRE,0.0621484709600907,0.00028411216146406,0.0620717080900177,0.062227496101569,50,0,0,50,0.95,10000,20260747,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.5,PostCalibrationMeanReferenceNRE,0.0444974811902482,5.4207225447821e-05,0.0444821511971278,0.0445124564665927,50,0,0,50,0.95,10000,20260748,percentile_bootstrap_linear_quantile
CP_WOPT,0.3,PostCalibrationMeanReferenceNRE,0.164601786695902,0.0175201234832584,0.15964235177081,0.16923217458779,50,0,0,50,0.95,10000,20260749,percentile_bootstrap_linear_quantile
Petrels,0.3,PostCalibrationMeanReferenceNRE,0.120541620438973,0.000242833050798654,0.120476595966591,0.120609962728062,50,0,0,50,0.95,10000,20260750,percentile_bootstrap_linear_quantile
Grasta,0.3,PostCalibrationMeanReferenceNRE,0.131598967042298,0.000159597446269681,0.131554986733202,0.131642365581439,50,0,0,50,0.95,10000,20260751,percentile_bootstrap_linear_quantile
Grouse,0.3,PostCalibrationMeanReferenceNRE,1.00029634529452,6.75392801228614e-05,1.00027680101393,1.0003138960654,50,0,0,50,0.95,10000,20260752,percentile_bootstrap_linear_quantile
TeCPSGD,0.3,PostCalibrationMeanReferenceNRE,0.171447650274924,0.0105911852245457,0.168251107788681,0.174018728757772,50,0,0,50,0.95,10000,20260753,percentile_bootstrap_linear_quantile
OLSTEC_70,0.3,PostCalibrationMeanReferenceNRE,0.0950427956322415,0.000586893501232332,0.0948753150432828,0.095199472977595,50,0,0,50,0.95,10000,20260754,percentile_bootstrap_linear_quantile
OLSTEC_80,0.3,PostCalibrationMeanReferenceNRE,0.0839321743679179,0.000789490822812529,0.0837075041748713,0.084141513994769,50,0,0,50,0.95,10000,20260755,percentile_bootstrap_linear_quantile
OLSTEC_90,0.3,PostCalibrationMeanReferenceNRE,0.0697547415385115,0.00103039674177581,0.0694716519021637,0.0700414407755996,50,0,0,50,0.95,10000,20260756,percentile_bootstrap_linear_quantile
OLSTEC_99,0.3,PostCalibrationMeanReferenceNRE,0.0642241973863375,0.000447092047326564,0.0641019514093216,0.0643468357404655,50,0,0,50,0.95,10000,20260757,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.3,PostCalibrationMeanReferenceNRE,0.0456486323542054,6.25388325488881e-05,0.0456311512248565,0.0456652615780754,50,0,0,50,0.95,10000,20260758,percentile_bootstrap_linear_quantile
CP_WOPT,0.1,PostCalibrationMeanReferenceNRE,0.17725227098872,0.000800862612986969,0.177035443296544,0.17747152263068,50,0,0,50,0.95,10000,20260759,percentile_bootstrap_linear_quantile
Petrels,0.1,PostCalibrationMeanReferenceNRE,0.127967221137138,0.000347275658126169,0.127873864443688,0.128062951384877,50,0,0,50,0.95,10000,20260760,percentile_bootstrap_linear_quantile
Grasta,0.1,PostCalibrationMeanReferenceNRE,0.203105393369518,0.000638888274655025,0.202932088837018,0.203278638732009,50,0,0,50,0.95,10000,20260761,percentile_bootstrap_linear_quantile
Grouse,0.1,PostCalibrationMeanReferenceNRE,1.00165921837031,7.24015904557125e-05,1.00163911789307,1.00167791865873,50,0,0,50,0.95,10000,20260762,percentile_bootstrap_linear_quantile
TeCPSGD,0.1,PostCalibrationMeanReferenceNRE,0.202368546279805,0.0189373073691041,0.197351365930115,0.207659214724909,50,0,0,50,0.95,10000,20260763,percentile_bootstrap_linear_quantile
OLSTEC_70,0.1,PostCalibrationMeanReferenceNRE,0.122883522754552,0.000641309569141158,0.122704563711764,0.123055933734507,50,0,0,50,0.95,10000,20260764,percentile_bootstrap_linear_quantile
OLSTEC_80,0.1,PostCalibrationMeanReferenceNRE,0.113740262952123,0.000741583937225853,0.113535361296041,0.113940703390039,50,0,0,50,0.95,10000,20260765,percentile_bootstrap_linear_quantile
OLSTEC_90,0.1,PostCalibrationMeanReferenceNRE,0.0992188404287819,0.00134018974746901,0.0988475809142838,0.0995887590869365,50,0,0,50,0.95,10000,20260766,percentile_bootstrap_linear_quantile
OLSTEC_99,0.1,PostCalibrationMeanReferenceNRE,0.0775485597616491,0.00124889279394872,0.0771991296094977,0.0778861363669425,50,0,0,50,0.95,10000,20260767,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.1,PostCalibrationMeanReferenceNRE,0.0522748526879253,0.00013229947189783,0.0522384315662222,0.0523123386505692,50,0,0,50,0.95,10000,20260768,percentile_bootstrap_linear_quantile
CP_WOPT,0.7,FinalFrameReferenceNRE,0.198066735752369,0.00141452271376876,0.19768540075105,0.198463745807289,50,0,0,50,0.95,10000,20260769,percentile_bootstrap_linear_quantile
Petrels,0.7,FinalFrameReferenceNRE,0.158165867015387,0.00946911222835417,0.155603372712949,0.16084423036418,50,0,0,50,0.95,10000,20260770,percentile_bootstrap_linear_quantile
Grasta,0.7,FinalFrameReferenceNRE,0.109192575161238,0.000979571503730471,0.108929478754831,0.10946265269033,50,0,0,50,0.95,10000,20260771,percentile_bootstrap_linear_quantile
Grouse,0.7,FinalFrameReferenceNRE,0.999908526701651,7.2599739771354e-05,0.999887967336419,0.999928017868399,50,0,0,50,0.95,10000,20260772,percentile_bootstrap_linear_quantile
TeCPSGD,0.7,FinalFrameReferenceNRE,0.136318896342429,0.0186850489422866,0.131535815835817,0.141813325210471,50,0,0,50,0.95,10000,20260773,percentile_bootstrap_linear_quantile
OLSTEC_70,0.7,FinalFrameReferenceNRE,0.0799184075049715,0.0028369064514669,0.0791372871566358,0.0807175625010495,50,0,0,50,0.95,10000,20260774,percentile_bootstrap_linear_quantile
OLSTEC_80,0.7,FinalFrameReferenceNRE,0.0725263323003853,0.00171164256204232,0.0720638112060579,0.0730033237888711,50,0,0,50,0.95,10000,20260775,percentile_bootstrap_linear_quantile
OLSTEC_90,0.7,FinalFrameReferenceNRE,0.0710793723215747,0.000913551469034294,0.0708332540726906,0.0713303039098147,50,0,0,50,0.95,10000,20260776,percentile_bootstrap_linear_quantile
OLSTEC_99,0.7,FinalFrameReferenceNRE,0.0948870123247226,0.00244093875536862,0.0942006003906603,0.0955534705237227,50,0,0,50,0.95,10000,20260777,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.7,FinalFrameReferenceNRE,0.0508320526178548,0.000200834299824936,0.0507766526462404,0.0508875213673065,50,0,0,50,0.95,10000,20260778,percentile_bootstrap_linear_quantile
CP_WOPT,0.5,FinalFrameReferenceNRE,0.191728745108295,0.011834465115997,0.188304885912212,0.194751772012242,50,0,0,50,0.95,10000,20260779,percentile_bootstrap_linear_quantile
Petrels,0.5,FinalFrameReferenceNRE,0.161120822455056,0.00591017885477605,0.159495944136235,0.162747741475665,50,0,0,50,0.95,10000,20260780,percentile_bootstrap_linear_quantile
Grasta,0.5,FinalFrameReferenceNRE,0.119993860904072,0.0013390727650335,0.119626877187918,0.120365731186076,50,0,0,50,0.95,10000,20260781,percentile_bootstrap_linear_quantile
Grouse,0.5,FinalFrameReferenceNRE,1.00003733257445,8.86367567226213e-05,1.00001305692032,1.00006157609337,50,0,0,50,0.95,10000,20260782,percentile_bootstrap_linear_quantile
TeCPSGD,0.5,FinalFrameReferenceNRE,0.162459246165912,0.0218641970491457,0.156328285329389,0.168179135847934,50,0,0,50,0.95,10000,20260783,percentile_bootstrap_linear_quantile
OLSTEC_70,0.5,FinalFrameReferenceNRE,0.0922005217198333,0.00410502063358052,0.0910635242277364,0.0933178121590698,50,0,0,50,0.95,10000,20260784,percentile_bootstrap_linear_quantile
OLSTEC_80,0.5,FinalFrameReferenceNRE,0.0816113559249646,0.00393113424533942,0.0805665416952378,0.082717160399994,50,0,0,50,0.95,10000,20260785,percentile_bootstrap_linear_quantile
