Trial,ObservationRatio,ExecutionOrder,MaskSeed,SpatterSeed,TensorInitializationSeed,ActualObservationRatio,HuberDelta,OLSTECWallTimeSeconds,RSIWallTimeSeconds,OLSTECCoreTimeSeconds,RSICoreTimeSeconds,OLSTECWallFPS,RSIWallFPS,OLSTECCoreFPS,RSICoreFPS,RSIToOLSTECWallTimeRatio,RSIToOLSTECCoreTimeRatio,RSIMeanPriorIRLSIterations,RSIMeanPosteriorIRLSIterations
1,0.1,OLSTEC_80_then_RSI_OLSTEC,10001,20001,30001,0.100116639909651,0.1,10.5675892,17.7132415,10.2994161,17.4496562,56.9666353041051,33.9858743528111,58.4499154277299,34.4992470396064,1.67618566209973,1.69423742380891,2.85382059800664,2.96511627906977
2,0.1,RSI_OLSTEC_then_OLSTEC_80,10002,20002,30002,0.100072547808119,0.1,10.2601207,17.1023655,10.0036775,16.8425712,58.6737736915707,35.1998090556537,60.1778695884588,35.7427611765121,1.66687761285303,1.68363796213942,2.48504983388704,2.51827242524917
3,0.1,OLSTEC_80_then_RSI_OLSTEC,10003,20003,30003,0.100008292986792,0.1,10.536637,17.322319,10.2734051,17.068499,57.1339792763099,34.7528526636647,58.5979034351522,35.2696508345579,1.64400833017214,1.6614256747259,2.57475083056478,2.75083056478405
4,0.1,RSI_OLSTEC_then_OLSTEC_80,10004,20004,30004,0.0999763238392351,0.1,10.572952,17.5025268,10.3163431,17.2475781,56.9377407558457,34.3950337502126,58.3540111224102,34.9034511691818,1.655405869619,1.67186937588379,2.70764119601329,2.83222591362126
5,0.1,OLSTEC_80_then_RSI_OLSTEC,10005,20005,30005,0.100012407827567,0.1,10.427901,17.3736553,10.1712838,17.1146171,57.7297387077227,34.6501636877762,59.1862356647644,35.1746110638958,1.66607405459641,1.68264079899137,2.64617940199336,2.79734219269103
6,0.1,RSI_OLSTEC_then_OLSTEC_80,10006,20006,30006,0.100070743608703,0.1,10.3277397,17.1525,10.0711861,16.8917683,58.2896178144381,35.096924646553,59.7744887268045,35.6386607552508,1.66081838797699,1.67723723226602,2.55647840531561,2.58305647840532
7,0.1,OLSTEC_80_then_RSI_OLSTEC,10007,20007,30007,0.0999940176545661,0.1,10.5249494,17.6578907,10.270371,17.4023099,57.1974246260984,34.0924071978767,58.6152145818296,34.5931088148246,1.67771739596202,1.69441881895016,2.84551495016611,2.96013289036545
8,0.1,RSI_OLSTEC_then_OLSTEC_80,10008,20008,30008,0.10006760999919,0.1,10.4393125,17.363995,10.1832845,17.1042091,57.6666327404223,34.6694409898183,59.1164864342148,35.1960149972675,1.66332744613211,1.67963578941549,2.71594684385382,2.75581395348837
9,0.1,OLSTEC_80_then_RSI_OLSTEC,10009,20009,30009,0.100008577860384,0.1,10.4830996,17.1702976,10.2242504,16.9173321,57.4257636548641,35.0605454852454,58.879622118801,35.5848071339807,1.63790274395561,1.65462810848216,2.57641196013289,2.69102990033223
10,0.1,RSI_OLSTEC_then_OLSTEC_80,10010,20010,30010,0.100063273590066,0.1,10.2759221,17.3026797,10.0187575,17.0479586,58.5835503754938,34.792298674985,60.0872912634127,35.3121458190308,1.68380798643851,1.70160407615415,2.64950166112957,2.82392026578073
11,0.1,OLSTEC_80_then_RSI_OLSTEC,10011,20011,30011,0.100081948636658,0.1,10.4685472,17.5226594,10.2110051,17.2623365,57.5055916068277,34.3555156930118,58.9559983668993,34.8736105335451,1.67383869654807,1.69056193106788,2.75415282392027,2.85382059800664
12,0.1,RSI_OLSTEC_then_OLSTEC_80,10012,20012,30012,0.100004273103881,0.1,10.3199716,17.6573802,10.0647989,17.3959702,58.3334938634909,34.0933928579054,59.8124220842604,34.6057157536405,1.71099116202994,1.72839719629172,2.76910299003322,2.93023255813953
13,0.1,OLSTEC_80_then_RSI_OLSTEC,10013,20013,30013,0.0998840881006401,0.1,10.4855301,16.9543391,10.2310088,16.695522,57.4124526141029,35.5071345718218,58.8407274168311,36.0575728030546,1.61692722621625,1.63185491542144,2.48338870431894,2.41694352159468
14,0.1,RSI_OLSTEC_then_OLSTEC_80,10014,20014,30014,0.0999947773174783,0.1,10.3559616,17.5731443,10.0962832,17.3211112,58.1307678854275,34.2568176601156,59.6259027282436,34.7552759779061,1.69691091747579,1.71559284311676,2.71926910299003,2.94518272425249
15,0.1,OLSTEC_80_then_RSI_OLSTEC,10015,20015,30015,0.0999455891439105,0.1,10.5432801,17.2818639,10.2805532,17.0239703,57.0979803524332,34.8342055858917,58.5571601341453,35.3619037974943,1.63913542427845,1.65593912786717,2.62790697674419,2.83056478405316
16,0.1,RSI_OLSTEC_then_OLSTEC_80,10016,20016,30016,0.100014528553197,0.1,10.5504045,17.3660277,10.2965232,17.1138696,57.0594236457948,34.6653829188583,58.4663374526267,35.1761474213874,1.64600586641015,1.66210178596985,2.61794019933555,2.86046511627907
