Trial,DataSeed,ExecutionOrder,HuberDelta,L2SteadyStateNRE,HuberSteadyStateNRE,L2F1Score,HuberF1Score,L2WallTimeSeconds,HuberWallTimeSeconds,L2CoreTimeSeconds,HuberCoreTimeSeconds,L2WallFPS,HuberWallFPS,L2CoreFPS,HuberCoreFPS,WallTimeRatio,CoreTimeRatio,L2MeanPriorIRLSIterations,HuberMeanPriorIRLSIterations,L2MeanPosteriorIRLSIterations,HuberMeanPosteriorIRLSIterations
1,1,HuberFirst,0.0443796203878543,0.169132599083966,0.0164707254930811,0.309777033076225,0.994797430465805,3.5152862,3.5676359,3.4726054,3.5245922,142.235929467137,140.148830770539,143.984110604677,141.860383167165,1.01489201647365,1.01497054632237,1,2.042,1,2.018
2,2,SquaredLossFirst,0.0441113861387126,0.187420687169088,0.0171134598266495,0.269153750925564,0.994336422379291,3.4722847,3.6270323,3.4321007,3.5866152,143.997408968222,137.853748917538,145.683371120201,139.40720487662,1.0445665068881,1.0450203864939,1,2.022,1,2.014
3,3,HuberFirst,0.0442106068930296,0.155858188225413,0.0164956335170829,0.334263487682791,0.994730896287763,3.5317872,3.5571878,3.4917474,3.5170143,141.571383462741,140.560473079324,143.194779782753,142.166041235601,1.00719199616557,1.00723617636259,1,2.014,1,2.01
4,4,SquaredLossFirst,0.0445758377465356,0.168747879741005,0.0163840839450426,0.312422208248018,0.995377804089217,3.5270281,3.6012142,3.4867126,3.5611266,141.762408981091,138.842060547245,143.401552511096,140.405005539539,1.02103360049782,1.02134216625712,1,2.028,1,2.012
5,5,HuberFirst,0.0441467349328433,0.161133382800586,0.0160156975276167,0.331764194846349,0.994891313491403,3.5203862,3.5929106,3.4812735,3.5527189,142.029871608973,139.162939372886,143.625601378346,140.737281522611,1.02060126244104,1.02052277708143,1,2.026,1,2.016
6,6,SquaredLossFirst,0.0444944510766484,0.160468024218295,0.0164679408521028,0.326684919003256,0.99503543694995,3.4830267,3.5929862,3.4428586,3.5528007,143.553306668594,139.160011246355,145.228154301777,140.734041174896,1.03157009964925,1.03193337652612,1,2.02,1,2.016
7,7,HuberFirst,0.0440013423574923,0.155317622207661,0.0156883366530945,0.340455830120099,0.994483452421034,3.4907037,3.5772111,3.4503309,3.5377133,143.237594184806,139.773691298229,144.913637123906,141.334234178897,1.02478222371037,1.02532580280923,1,2.022,1,2.012
8,8,SquaredLossFirst,0.0441282540039822,0.153434080205256,0.0153167990345457,0.342777183567108,0.994652496933297,3.5313763,3.5924163,3.4904827,3.5522287,141.587856270089,139.18208755483,143.246663276687,140.756702967914,1.01728504549345,1.01768981694136,1,2.014,1,2.01
9,9,HuberFirst,0.0442015013150785,0.163657148093444,0.0168215649528903,0.32430809403953,0.994710872233619,3.5571957,3.5681383,3.5173339,3.5287724,140.560160915521,140.129097574497,142.153123421123,141.692334705406,1.00307618723367,1.00325203700451,1,2.032,1,2.014
10,10,SquaredLossFirst,0.0443766490473438,0.165925450475501,0.0168710500708237,0.31990455258399,0.995102665426343,3.4655391,3.6036244,3.4255118,3.564186,144.277696938984,138.749199278371,145.963590024708,140.28448571427,1.03984525813026,1.04048276815161,1,2.046,1,2.022
11,11,HuberFirst,0.0444775024578761,0.153316038991583,0.0162767754840389,0.351803305595648,0.995069437646198,3.4825294,3.6308074,3.4427682,3.5909279,143.573805866506,137.710416696848,145.231967693904,139.239776994687,1.04257767357255,1.04303504952788,1,2.024,1,2.016
12,12,SquaredLossFirst,0.0439271357170215,0.167629763660683,0.0166786119564722,0.309388473148793,0.993963612658096,3.5006662,3.6059065,3.4611678,3.5662629,142.829956195195,138.661387920069,144.459913211951,140.202787629594,1.03006293487794,1.03036405805,1,2.034,1,2.022
13,13,HuberFirst,0.0443551463028942,0.167461510300966,0.0173759456918906,0.312557220809353,0.994445954158846,3.4224346,3.5650824,3.3832621,3.5248825,146.094829686446,140.249212753119,147.786362753273,141.848699921203,1.04168021209229,1.04185912761533,1,2.022,1,2.01
14,14,SquaredLossFirst,0.0438092982621589,0.182655058386557,0.0167626777928121,0.280104121513102,0.994204814021119,3.4711175,3.5618238,3.4319386,3.5221061,144.045829621152,140.377522324378,145.690252150781,141.960516180929,1.02613172847073,1.02627305162161,1,2.036,1,2.022
15,15,HuberFirst,0.0440744879296407,0.177169743935447,0.0160286069012902,0.290012869158346,0.99474386992457,3.4628193,3.5757913,3.4218075,3.5349002,144.391016880378,139.829189695719,146.121603859948,141.446709018829,1.03262428391802,1.0330505734177,1,2.02,1,2.014
16,16,SquaredLossFirst,0.044306006465735,0.153115452971958,0.0172221029580082,0.3439182442884,0.994824392957857,3.5152023,3.5873655,3.4748334,3.5476958,142.239324319969,139.378047762348,143.891790610738,140.936548167405,1.02052888961753,1.02096860240839,1,2.04,1,2.018
17,17,HuberFirst,0.0440817215347121,0.184086367425345,0.0172895733291035,0.275315680261147,0.994411712595713,3.4371204,3.5404765,3.3969218,3.500787,145.470609641722,141.223928474034,147.192084315865,142.825027629502,1.03007054975438,1.03057627055177,1,2.024,1,2.016
18,18,SquaredLossFirst,0.0441386250399847,0.176783216973382,0.0170361887124319,0.28610770774298,0.994253582422364,3.5737964,3.5857812,3.5337701,3.5454976,139.907242617403,139.439628943339,141.491943689263,141.023928488909,1.00335352064264,1.00331869353923,1,2.036,1,2.018
19,19,HuberFirst,0.0441344720341683,0.175887621118399,0.0163686910948066,0.293294605019854,0.994619140616214,3.4282886,3.5839969,3.3877411,3.543689,145.845364360515,139.509049240528,147.590971458828,141.095903167575,1.04541866749491,1.04603300411593,1,2.032,1,2.018
20,20,SquaredLossFirst,0.0443247707719019,0.176502182410909,0.0168151915400588,0.303339221927938,0.994845273514464,3.4626794,3.5658164,3.421827,3.5255757,144.396850600723,140.220343369333,146.120771155292,141.820809577284,1.02978531596081,1.03031968010072,1,2.046,1,2.02
21,21,HuberFirst,0.0449056315729207,0.172999740447892,0.0157359063193914,0.307299583934173,0.996076803095336,3.4724264,3.5511295,3.4317605,3.511368,143.991532837096,140.800272138766,145.697813119534,142.39464505002,1.02266516001606,1.02319727731583,1,2.016,1,2.01
22,22,SquaredLossFirst,0.0442603244664924,0.148794692785082,0.0171737662453412,0.355116714985721,0.994568180903549,3.4334601,3.6603859,3.3945918,3.6166952,145.625691121327,136.597619393081,147.293114889396,138.247757234284,1.06609245291652,1.06542860322705,1,2.02,1,2.014
23,23,HuberFirst,0.0443271012313727,0.178741402112759,0.016290534358255,0.289372878661855,0.994629384886704,3.4492991,3.5236705,3.4089004,3.4840702,144.956985609047,141.897490131384,146.674863249158,143.510311589014,1.02156130791905,1.02205104027093,1,2.024,1,2.012
