Algorithm,Rank,ObservationRatio,ValidRuns,FailedRuns
PETRELS,5,0.7,50,0
GRASTA,5,0.7,50,0
GROUSE,5,0.7,50,0
TeCPSGD,5,0.7,50,0
OLSTEC,5,0.7,50,0
RSI-OLSTEC,5,0.7,50,0
PETRELS,5,0.5,50,0
GRASTA,5,0.5,50,0
GROUSE,5,0.5,50,0
TeCPSGD,5,0.5,50,0
OLSTEC,5,0.5,50,0
RSI-OLSTEC,5,0.5,50,0
PETRELS,5,0.3,50,0
GRASTA,5,0.3,50,0
GROUSE,5,0.3,50,0
TeCPSGD,5,0.3,50,0
OLSTEC,5,0.3,50,0
RSI-OLSTEC,5,0.3,50,0
PETRELS,5,0.1,50,0
GRASTA,5,0.1,50,0
GROUSE,5,0.1,50,0
TeCPSGD,5,0.1,50,0
OLSTEC,5,0.1,50,0
RSI-OLSTEC,5,0.1,50,0
PETRELS,10,0.7,50,0
GRASTA,10,0.7,50,0
GROUSE,10,0.7,50,0
TeCPSGD,10,0.7,50,0
OLSTEC,10,0.7,50,0
RSI-OLSTEC,10,0.7,50,0
PETRELS,10,0.5,50,0
GRASTA,10,0.5,50,0
GROUSE,10,0.5,50,0
TeCPSGD,10,0.5,50,0
OLSTEC,10,0.5,50,0
RSI-OLSTEC,10,0.5,50,0
PETRELS,10,0.3,50,0
GRASTA,10,0.3,50,0
GROUSE,10,0.3,50,0
TeCPSGD,10,0.3,50,0
OLSTEC,10,0.3,50,0
RSI-OLSTEC,10,0.3,50,0
PETRELS,10,0.1,50,0
GRASTA,10,0.1,50,0
GROUSE,10,0.1,50,0
TeCPSGD,10,0.1,50,0
OLSTEC,10,0.1,50,0
RSI-OLSTEC,10,0.1,50,0
PETRELS,15,0.7,50,0
GRASTA,15,0.7,50,0
GROUSE,15,0.7,50,0
TeCPSGD,15,0.7,50,0
OLSTEC,15,0.7,50,0
RSI-OLSTEC,15,0.7,50,0
PETRELS,15,0.5,50,0
GRASTA,15,0.5,50,0
GROUSE,15,0.5,50,0
TeCPSGD,15,0.5,50,0
OLSTEC,15,0.5,50,0
RSI-OLSTEC,15,0.5,50,0
PETRELS,15,0.3,50,0
GRASTA,15,0.3,50,0
GROUSE,15,0.3,50,0
TeCPSGD,15,0.3,50,0
OLSTEC,15,0.3,50,0
RSI-OLSTEC,15,0.3,50,0
PETRELS,15,0.1,50,0
GRASTA,15,0.1,50,0
GROUSE,15,0.1,50,0
TeCPSGD,15,0.1,50,0
OLSTEC,15,0.1,50,0
RSI-OLSTEC,15,0.1,50,0
