Lambda,Rank,ObservationRatio,ValidRuns,FailedRuns
0.7,5,0.7,50,0
0.8,5,0.7,50,0
0.9,5,0.7,50,0
0.99,5,0.7,50,0
0.7,5,0.5,50,0
0.8,5,0.5,50,0
0.9,5,0.5,50,0
0.99,5,0.5,50,0
0.7,5,0.3,50,0
0.8,5,0.3,50,0
0.9,5,0.3,50,0
0.99,5,0.3,50,0
0.7,5,0.1,50,0
0.8,5,0.1,50,0
0.9,5,0.1,50,0
0.99,5,0.1,50,0
0.7,10,0.7,50,0
0.8,10,0.7,50,0
0.9,10,0.7,50,0
0.99,10,0.7,50,0
0.7,10,0.5,50,0
0.8,10,0.5,50,0
0.9,10,0.5,50,0
0.99,10,0.5,50,0
0.7,10,0.3,50,0
0.8,10,0.3,50,0
0.9,10,0.3,50,0
0.99,10,0.3,50,0
0.7,10,0.1,50,0
0.8,10,0.1,50,0
0.9,10,0.1,50,0
0.99,10,0.1,50,0
0.7,15,0.7,50,0
0.8,15,0.7,50,0
0.9,15,0.7,50,0
0.99,15,0.7,50,0
0.7,15,0.5,50,0
0.8,15,0.5,50,0
0.9,15,0.5,50,0
0.99,15,0.5,50,0
0.7,15,0.3,50,0
0.8,15,0.3,50,0
0.9,15,0.3,50,0
0.99,15,0.3,50,0
0.7,15,0.1,50,0
0.8,15,0.1,50,0
0.9,15,0.1,50,0
0.99,15,0.1,50,0
