Trial,TrialSeed,ConfigurationID,ParameterFamily,ParameterValue,LambdaMin,LambdaMax,HuberScaleMultiplier,HuberDelta,Alpha,SideThresholdMultiplier,SideThreshold,Mu,EstimatedRank,IRLSMaxIterations,Status,ExecutionPosition,RuntimeSeconds,PreMutationMeanNRE50,RecoveryIntegral50,FinalMeanNRE100,MeanLambda,MinimumLambdaPost50,MeanPriorIRLSIterations,MeanPosteriorIRLSIterations,VisualSigma,SideSigma,ActualObservationRatio,ActualSpatterDensity,SideDelay
1,2001,default,default,NaN,0.7,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.01,5,3,1,16,1.6789928,0.0218754537123061,19.7836467782574,0.0206403415892087,0.798803039979233,0.7,2.104,2.076,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,lambda_min_0p1,lambda_min,0.1,0.1,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.01,5,3,1,6,1.6629889,0.0218763621119353,6.6720026079803,0.0206502372007759,0.791621279854638,0.1,2.074,2.044,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,lambda_min_0p4,lambda_min,0.4,0.4,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.01,5,3,1,12,1.6715238,0.0218755589855575,14.8223978578475,0.0206823213481119,0.795212159916935,0.4,2.09,2.066,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,lambda_max_0p9,lambda_max,0.9,0.7,0.9,3,0.088682672713925,0.999,3,0.676247774888804,0.01,5,3,1,10,1.7456911,0.0278275589707093,38.0627413450958,0.0273596574899632,0.89760607995847,0.7,2.184,2.15,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,lambda_max_0p99,lambda_max,0.99,0.7,0.99,3,0.088682672713925,0.999,3,0.676247774888804,0.01,5,3,1,2,1.9191508,0.0932580283996491,49.8407487600789,0.954811703784847,0.986528815939777,0.7,2.716,2.71,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,huber_1p345,huber,1.345,0.7,0.8,1.345,0.039759398266743,0.999,3,0.676247774888804,0.01,5,3,1,3,1.8808846,0.0196102564727385,24.9956162486844,0.0183364477864299,0.798803039979233,0.7,2.992,2.966,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,huber_6,huber,6,0.7,0.8,6,0.17736534542785,0.999,3,0.676247774888804,0.01,5,3,1,15,1.6830145,0.0308048730571084,17.2318173185889,0.0288130561365954,0.798803039979233,0.7,2.062,2.058,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,alpha_0p9,alpha,0.9,0.7,0.8,3,0.088682672713925,0.9,3,0.676247774888804,0.01,5,3,1,5,1.7119439,0.0218754532442453,19.6703160065584,0.0206510616011021,0.797973114018176,0.7,2.104,2.076,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,alpha_0p99,alpha,0.99,0.7,0.8,3,0.088682672713925,0.99,3,0.676247774888804,0.01,5,3,1,11,1.672068,0.0218754536717942,19.7764264603431,0.0206414669248194,0.798549191201498,0.7,2.104,2.076,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,theta_1,theta,1,0.7,0.8,3,0.088682672713925,0.999,1,0.225415924962934,0.01,5,3,1,8,1.7304627,0.0219585903734357,18.8776486573023,0.0206353042897914,0.792721704819712,0.7,2.102,2.072,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,theta_6,theta,6,0.7,0.8,3,0.088682672713925,0.999,6,1.35249554977761,0.01,5,3,1,9,1.7272387,0.0218754265012373,20.5661751346424,0.0206340868856045,0.799799999999998,0.7,2.108,2.08,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,mu_0p001,mu,0.001,0.7,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.001,5,3,1,14,1.6845084,0.0228254842824509,19.7284107242395,0.0209763246273647,0.798803039979233,0.7,2.094,2.074,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,mu_0p1,mu,0.1,0.7,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.1,5,3,1,13,1.6842452,0.0228107756206641,19.4544332022325,0.0214501414844625,0.798803039979233,0.7,2.12,2.082,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,rank_3,rank,3,0.7,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.01,3,3,1,1,1.401352,0.621051540509867,37.6891678009001,0.62041757638483,0.798803039979233,0.7,2.996,2.994,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,rank_7,rank,7,0.7,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.01,7,3,1,4,2.0120431,0.025774301677909,15.4980771053926,0.0261652455127674,0.798803039979233,0.7,2.47,2.536,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,irls_1,irls,1,0.7,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.01,5,1,1,17,1.6408373,0.0218935212802492,19.7857121621224,0.0210271103640316,0.798803039979233,0.7,1,1,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
1,2001,irls_5,irls,5,0.7,0.8,3,0.088682672713925,0.999,3,0.676247774888804,0.01,5,5,1,7,1.6782942,0.0219748056300985,19.6755230441252,0.0208580766529266,0.798803039979233,0.7,2.218,2.186,0.0295608909046417,0.159393129128729,0.499996,0.0501448,2
2,2002,default,default,NaN,0.7,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,5,3,1,17,1.6943784,0.0214009477673858,21.4102214834325,0.0196064838437735,0.799798114429015,0.7,2.116,2.082,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,lambda_min_0p1,lambda_min,0.1,0.1,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,5,3,1,4,1.7006327,0.0214009477673858,13.1028796970198,0.0194961111424395,0.798586801003115,0.1,2.094,2.072,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,lambda_min_0p4,lambda_min,0.4,0.4,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,5,3,1,8,1.7337326,0.0214009477673858,18.8700863422548,0.0195843326672797,0.799192457716065,0.4,2.11,2.082,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,lambda_max_0p9,lambda_max,0.9,0.7,0.9,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,5,3,1,12,1.7240124,0.0281911108468813,41.189102692394,0.0215579246618566,0.899596228858035,0.7,2.174,2.146,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,lambda_max_0p99,lambda_max,0.99,0.7,0.99,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,5,3,1,9,1.7647843,0.101286569477642,49.7142582400731,0.977926630937429,0.989414531844146,0.7,2.752,2.742,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,huber_1p345,huber,1.345,0.7,0.8,1.345,0.0399667626294757,0.999,3,0.801989070420631,0.01,5,3,1,3,1.767126,0.0196303769876381,25.2987570897389,0.0174335747591729,0.799798114429015,0.7,2.982,2.922,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,huber_6,huber,6,0.7,0.8,6,0.178290390912159,0.999,3,0.801989070420631,0.01,5,3,1,6,1.6697091,0.0295562156310417,18.1189120741043,0.028284025851471,0.799798114429015,0.7,2.066,2.064,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,alpha_0p9,alpha,0.9,0.7,0.8,3,0.0891451954560796,0.9,3,0.801989070420631,0.01,5,3,1,16,1.6529629,0.0214009477673858,21.4072084780931,0.019606516397527,0.799796758438754,0.7,2.116,2.082,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,alpha_0p99,alpha,0.99,0.7,0.8,3,0.0891451954560796,0.99,3,0.801989070420631,0.01,5,3,1,7,1.73399,0.0214009477673858,21.4100228457446,0.019606486013186,0.79979802459877,0.7,2.116,2.082,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,theta_1,theta,1,0.7,0.8,3,0.0891451954560796,0.999,1,0.26732969014021,0.01,5,3,1,13,1.7050244,0.0214510867205521,20.335968094906,0.0196211821769954,0.793813041330233,0.7,2.11,2.082,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,theta_6,theta,6,0.7,0.8,3,0.0891451954560796,0.999,6,1.60397814084126,0.01,5,3,1,2,1.7129964,0.0214009477673858,21.4143804520584,0.0196064469409325,0.799799999999998,0.7,2.116,2.082,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,mu_0p001,mu,0.001,0.7,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.001,5,3,1,1,1.7579823,0.0213250081894815,21.4106305376334,0.0196420280630598,0.799798114429015,0.7,2.108,2.078,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,mu_0p1,mu,0.1,0.7,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.1,5,3,1,10,1.6870958,0.02121162409073,21.8493198502923,0.0199464922489747,0.799798114429015,0.7,2.11,2.082,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,rank_3,rank,3,0.7,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,3,3,1,15,1.3062503,0.649427691422663,37.6189248620326,0.632813703636375,0.799798114429015,0.7,2.994,2.99,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,rank_7,rank,7,0.7,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,7,3,1,14,1.8438334,0.0244142068281757,16.1122162924063,0.0236338402031376,0.799798114429015,0.7,2.19,2.13,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,irls_1,irls,1,0.7,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,5,1,1,5,1.5900315,0.0212221114677947,20.7010148337328,0.0196960426066829,0.799798114429015,0.7,1,1,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
2,2002,irls_5,irls,5,0.7,0.8,3,0.0891451954560796,0.999,3,0.801989070420631,0.01,5,5,1,11,1.6992735,0.021485566315081,21.8337478484014,0.0196112386269817,0.799798114429015,0.7,2.24,2.194,0.0297150651520265,0.189030636710641,0.500236,0.0498744,2
3,2003,default,default,NaN,0.7,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,5,3,1,8,1.7183969,0.022031748336473,20.7178638483832,0.0205580041543745,0.797589058579747,0.7,2.124,2.09,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,lambda_min_0p1,lambda_min,0.1,0.1,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,5,3,1,15,1.728658,0.0220221201708764,12.5265424550661,0.0206779555397208,0.783123410058235,0.1,2.11,2.07,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,lambda_min_0p4,lambda_min,0.4,0.4,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,5,3,1,7,1.735689,0.0220271117356872,17.706859811168,0.0206565615703076,0.790356234318991,0.4,2.128,2.082,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,lambda_max_0p9,lambda_max,0.9,0.7,0.9,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,5,3,1,14,1.6936744,0.0293904269300085,39.456695660088,0.0268978536563846,0.895178117159498,0.7,2.212,2.17,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,lambda_max_0p99,lambda_max,0.99,0.7,0.99,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,5,3,1,13,1.7515687,0.100361537051521,49.765965246601,0.945610550740876,0.983008269881268,0.7,2.74,2.732,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,huber_1p345,huber,1.345,0.7,0.8,1.345,0.0393796826740587,0.999,3,0.432580893753595,0.01,5,3,1,17,1.8026571,0.020408732513224,25.6083715902458,0.0184229534687836,0.797589058579747,0.7,2.988,2.96,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,huber_6,huber,6,0.7,0.8,6,0.175671446873124,0.999,3,0.432580893753595,0.01,5,3,1,10,1.6764763,0.0301385605902985,17.1638153072913,0.0289193875844555,0.797589058579747,0.7,2.06,2.06,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,alpha_0p9,alpha,0.9,0.7,0.8,3,0.0878357234365621,0.9,3,0.432580893753595,0.01,5,3,1,11,1.6955828,0.0220378980573845,20.6391968026445,0.0205930384536433,0.79160346385743,0.7,2.122,2.09,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,alpha_0p99,alpha,0.99,0.7,0.8,3,0.0878357234365621,0.99,3,0.432580893753595,0.01,5,3,1,5,1.7110479,0.0220249111875468,20.7125443903582,0.0205569218096351,0.796578303389539,0.7,2.124,2.09,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,theta_1,theta,1,0.7,0.8,3,0.0878357234365621,0.999,1,0.144193631251198,0.01,5,3,1,4,1.7115644,0.0220874184815133,20.1854564154096,0.0206331377439201,0.789886072420055,0.7,2.126,2.088,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,theta_6,theta,6,0.7,0.8,3,0.0878357234365621,0.999,6,0.865161787507189,0.01,5,3,1,12,1.7325186,0.0220340377624869,20.8534160474134,0.020543823925754,0.799571266768377,0.7,2.122,2.09,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,mu_0p001,mu,0.001,0.7,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.001,5,3,1,1,1.7602608,0.0219957002163898,20.7164932203593,0.020478456817408,0.797589058579747,0.7,2.122,2.09,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,mu_0p1,mu,0.1,0.7,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.1,5,3,1,2,1.7464176,0.0220218940444916,21.3069513153114,0.0205602701125273,0.797589058579747,0.7,2.132,2.086,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,rank_3,rank,3,0.7,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,3,3,1,3,1.3665908,0.652518872831235,36.9717447318146,0.633138995404311,0.797589058579747,0.7,2.994,2.996,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,rank_7,rank,7,0.7,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,7,3,1,16,1.8947316,0.0251467721944831,16.5665027251751,0.0237335206954995,0.797589058579747,0.7,2.314,2.284,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,irls_1,irls,1,0.7,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,5,1,1,9,1.5738958,0.0220884000911494,20.554795263114,0.0206179429106573,0.797589058579747,0.7,1,1,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
3,2003,irls_5,irls,5,0.7,0.8,3,0.0878357234365621,0.999,3,0.432580893753595,0.01,5,5,1,6,1.7235122,0.0220310209340667,20.7449125246412,0.0205424029451875,0.797589058579747,0.7,2.244,2.2,0.029278574478854,0.101960294461635,0.4997424,0.0500592,5
4,2004,default,default,NaN,0.7,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,5,3,1,6,1.6634048,0.020829224401682,21.1706648470377,0.021192413882502,0.799086394770767,0.7,2.11,2.086,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,lambda_min_0p1,lambda_min,0.1,0.1,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,5,3,1,12,1.7215832,0.0220075382561473,14.8366618562905,0.0203277643740114,0.793604763395376,0.1,2.094,2.068,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,lambda_min_0p4,lambda_min,0.4,0.4,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,5,3,1,5,1.6881388,0.0210817487624735,18.6358923429624,0.0212259843939265,0.796345579083071,0.4,2.104,2.082,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,lambda_max_0p9,lambda_max,0.9,0.7,0.9,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,5,3,1,2,1.7381681,0.0232098052499215,40.5009438239759,0.0290831892247584,0.898172789541538,0.7,2.174,2.156,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,lambda_max_0p99,lambda_max,0.99,0.7,0.99,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,5,3,1,1,1.7715575,0.0683542005625608,49.9551166703366,0.987259261570726,0.987350544835226,0.7,2.642,2.63,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,huber_1p345,huber,1.345,0.7,0.8,1.345,0.0399165319995764,0.999,3,0.664454365107787,0.01,5,3,1,8,1.8040063,0.017852909724011,25.7086341378223,0.0192802653273688,0.799086394770767,0.7,2.978,2.94,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,huber_6,huber,6,0.7,0.8,6,0.178066313752757,0.999,3,0.664454365107787,0.01,5,3,1,9,1.6915525,0.0302942762900698,18.1873648097409,0.02953063040042,0.799086394770767,0.7,2.054,2.054,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,alpha_0p9,alpha,0.9,0.7,0.8,3,0.0890331568763785,0.9,3,0.664454365107787,0.01,5,3,1,3,1.7437934,0.0208389263543927,21.0883564601329,0.021191485714211,0.798290405349523,0.7,2.11,2.086,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,alpha_0p99,alpha,0.99,0.7,0.8,3,0.0890331568763785,0.99,3,0.664454365107787,0.01,5,3,1,4,1.7336018,0.0208389263543927,21.1240106775446,0.0211908665978017,0.79893846957179,0.7,2.11,2.086,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,theta_1,theta,1,0.7,0.8,3,0.0890331568763785,0.999,1,0.221484788369262,0.01,5,3,1,11,1.734685,0.0212338624291614,20.8462268644057,0.0211798851188198,0.790838800801885,0.7,2.112,2.084,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,theta_6,theta,6,0.7,0.8,3,0.0890331568763785,0.999,6,1.32890873021557,0.01,5,3,1,10,1.6874865,0.0207983755519694,21.2341940520297,0.0211952080239987,0.799799999999998,0.7,2.11,2.086,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,mu_0p001,mu,0.001,0.7,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.001,5,3,1,7,1.7076615,0.0207506558527206,21.0888553949295,0.0211412963280184,0.799086394770767,0.7,2.11,2.086,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,mu_0p1,mu,0.1,0.7,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.1,5,3,1,14,1.7035668,0.0211130893107378,20.6915690252598,0.0214339919957421,0.799086394770767,0.7,2.09,2.076,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,rank_3,rank,3,0.7,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,3,3,1,15,1.3745885,0.642124709235162,37.0563925992465,0.63810754286334,0.799086394770767,0.7,2.988,2.978,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,rank_7,rank,7,0.7,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,7,3,1,13,1.8938653,0.0249111631952651,16.6418743340024,0.0247506254782747,0.799086394770767,0.7,2.42,2.488,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,irls_1,irls,1,0.7,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,5,1,1,16,1.5915687,0.0208352451856302,21.2359407876203,0.0209845380737593,0.799086394770767,0.7,1,1,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
4,2004,irls_5,irls,5,0.7,0.8,3,0.0890331568763785,0.999,3,0.664454365107787,0.01,5,5,1,17,1.7492582,0.0209265526960172,21.1794673802828,0.0211871049023351,0.799086394770767,0.7,2.232,2.192,0.0296777189587928,0.156613395785573,0.5005304,0.050256,3
5,2005,default,default,NaN,0.7,0.8,3,0.0903400970344523,0.999,3,0.804316868539549,0.01,5,3,1,13,1.6829979,0.0216862781415724,20.750573336653,0.0215668918799133,0.799441318173352,0.7,2.102,2.078,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,lambda_min_0p1,lambda_min,0.1,0.1,0.8,3,0.0903400970344523,0.999,3,0.804316868539549,0.01,5,3,1,17,1.7417282,0.0217017408041118,13.2620821716393,0.0215708535097915,0.796089227213472,0.1,2.084,2.062,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,lambda_min_0p4,lambda_min,0.4,0.4,0.8,3,0.0903400970344523,0.999,3,0.804316868539549,0.01,5,3,1,11,1.7214648,0.0216944209141008,18.3735032938564,0.0215674541801616,0.797765272693412,0.4,2.094,2.07,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,lambda_max_0p9,lambda_max,0.9,0.7,0.9,3,0.0903400970344523,0.999,3,0.804316868539549,0.01,5,3,1,4,1.7192483,0.0274858898177004,40.5478047801028,0.0303389780868947,0.898882636346709,0.7,2.192,2.144,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,lambda_max_0p99,lambda_max,0.99,0.7,0.99,3,0.0903400970344523,0.999,3,0.804316868539549,0.01,5,3,1,3,1.7488338,0.0966733465300288,49.8772396189388,0.98929192974217,0.988379822702723,0.7,2.728,2.718,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,huber_1p345,huber,1.345,0.7,0.8,1.345,0.0405024768371128,0.999,3,0.804316868539549,0.01,5,3,1,8,1.8320301,0.0195567483384795,24.9262945525807,0.0199408479517842,0.799441318173352,0.7,2.986,2.956,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,huber_6,huber,6,0.7,0.8,6,0.180680194068905,0.999,3,0.804316868539549,0.01,5,3,1,15,1.7368464,0.0299750068364304,18.1368084626391,0.0296425247473917,0.799441318173352,0.7,2.058,2.054,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,alpha_0p9,alpha,0.9,0.7,0.8,3,0.0903400970344523,0.9,3,0.804316868539549,0.01,5,3,1,16,1.7371403,0.0217137212100225,20.6867858877849,0.0215561679275003,0.798945076579622,0.7,2.102,2.078,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,alpha_0p99,alpha,0.99,0.7,0.8,3,0.0903400970344523,0.99,3,0.804316868539549,0.01,5,3,1,9,1.7410896,0.0217137212100225,20.7083791656823,0.0215584276415249,0.799011338288398,0.7,2.102,2.078,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,theta_1,theta,1,0.7,0.8,3,0.0903400970344523,0.999,1,0.268105622846516,0.01,5,3,1,14,1.6781623,0.0218459379020936,20.0978681616617,0.0215519720739922,0.794376352505503,0.7,2.102,2.076,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,theta_6,theta,6,0.7,0.8,3,0.0903400970344523,0.999,6,1.6086337370791,0.01,5,3,1,7,1.7524068,0.0216838335904038,20.8651412538455,0.0215675453251639,0.799799999999998,0.7,2.102,2.078,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,mu_0p001,mu,0.001,0.7,0.8,3,0.0903400970344523,0.999,3,0.804316868539549,0.001,5,3,1,12,1.7211928,0.0222249463771854,21.6428754929904,0.0216611213853848,0.799441318173352,0.7,2.106,2.08,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,mu_0p1,mu,0.1,0.7,0.8,3,0.0903400970344523,0.999,3,0.804316868539549,0.1,5,3,1,10,1.7080154,0.0222357332742076,20.7888210078085,0.0214905852624213,0.799441318173352,0.7,2.116,2.088,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,rank_3,rank,3,0.7,0.8,3,0.0903400970344523,0.999,3,0.804316868539549,0.01,3,3,1,1,1.3787062,0.604683465320321,38.8348897890356,0.631766626037184,0.799441318173352,0.7,2.998,2.99,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,rank_7,rank,7,0.7,0.8,3,0.0903400970344523,0.999,3,0.804316868539549,0.01,7,3,1,2,1.9060842,0.0259951370793997,16.958023850928,0.0284074133941411,0.799441318173352,0.7,2.552,2.518,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
5,2005,irls_1,irls,1,0.7,0.8,3,0.0903400970344523,0.999,3,0.804316868539549,0.01,5,1,1,6,1.603527,0.0218945086492864,21.9319815931472,0.0216970126069177,0.799441318173352,0.7,1,1,0.0301133656781508,0.189579303989015,0.4995496,0.049812,3
