ConfigurationID,Label,ParameterFamily,ParameterValue,SuccessfulRuns,FailedRuns,PairedRuns,PreMutationMeanNRE50Mean,RecoveryIntegral50Mean,RecoveryIntegral50Std,RecoveryIntegral50CILower,RecoveryIntegral50CIUpper,RecoveryIntegral50DifferenceMean,RecoveryIntegral50DifferenceCILower,RecoveryIntegral50DifferenceCIUpper,FinalMeanNRE100Mean,FinalMeanNRE100Std,FinalMeanNRE100CILower,FinalMeanNRE100CIUpper,FinalMeanNRE100DifferenceMean,FinalMeanNRE100DifferenceCILower,FinalMeanNRE100DifferenceCIUpper,RuntimeMedianSeconds,RuntimeIQRSeconds,MeanLambdaMean,MinimumLambdaPost50Mean,MeanPriorIRLSIterationsMean,MeanPosteriorIRLSIterationsMean,HuberDeltaMean,SideThresholdMean
default,Default,default,NaN,50,0,50,0.0222697163991583,21.0490796214354,1.44268281329497,20.6624081164975,21.453714434232,0,0,0,0.0208712385109426,0.00064437636701972,0.0206925243391374,0.0210442571251311,0,0,0,1.7185124,0.0446111,0.799427644489264,0.7,2.12384,2.08808,0.0885725828767522,0.839472214832887
lambda_min_0p1,Lambda min 0.1,lambda_min,0.1,50,0,50,0.0224240286814535,13.2625610067935,1.58469632675061,12.8190293800896,13.6821153323807,-7.7865186146418,-8.11918522312185,-7.49763533877286,0.0208820724917711,0.000675078519371195,0.0206957102867806,0.0210630845459829,1.08339808284827e-05,-6.28836236577943e-05,8.08134292137885e-05,1.7160201,0.0385079749999999,0.795993511424856,0.1,2.10788,2.0718,0.0885725828767522,0.839472214832887
lambda_min_0p4,Lambda min 0.4,lambda_min,0.4,50,0,50,0.0223024260827908,18.5988065657967,1.53652829507807,18.1865937575781,19.0201212682799,-2.45027305563864,-2.62964707826298,-2.28909694552018,0.0208829082613552,0.000638865310623121,0.0207046906815696,0.0210537164164451,1.16697504126483e-05,-2.37538833136654e-05,5.15166090825506e-05,1.720408,0.0374167249999999,0.79771057795706,0.4,2.12004,2.0836,0.0885725828767522,0.839472214832887
lambda_max_0p9,Lambda max 0.9,lambda_max,0.9,50,0,50,0.0293059172645724,40.1675021076341,2.29356585483153,39.5372282153003,40.7980930730026,19.1184224861987,18.7821252098468,19.451427784937,0.0275159102578533,0.0021044475258707,0.0269177275453118,0.0280772675216136,0.00664467174691068,0.00620174387464339,0.00705181900835669,1.7161093,0.0397332000000001,0.898855288978533,0.7,2.21484,2.1682,0.0885725828767522,0.839472214832887
lambda_max_0p99,Lambda max 0.99,lambda_max,0.99,50,0,50,0.100581871752335,49.8393107321599,0.137930653133313,49.7998328355051,49.8754261830247,28.7902311107246,28.4038243463711,29.1494324803454,0.978133993294913,0.0214368302181765,0.971620119909807,0.983627827323227,0.95726275478397,0.950865541852903,0.962728208635815,1.78061875,0.0454213999999999,0.988340169018867,0.7,2.77004,2.75908,0.0885725828767522,0.839472214832887
huber_1p345,Huber multiplier 1.345,huber,1.345,50,0,50,0.0201810112954743,25.4622227340545,1.48473852471498,25.063084595134,25.883285186565,4.41314311261911,4.21706843537843,4.61951405360004,0.0190483696882433,0.000778927076647804,0.0188282562244845,0.0192597623220119,-0.00182286882269929,-0.0019264932603752,-0.00172056910601381,1.79219495,0.0422159500000001,0.799427644489264,0.7,2.98212,2.95068,0.0397100413230772,0.839472214832887
huber_6,Huber multiplier 6,huber,6,50,0,50,0.0308726838064288,18.0300135549949,1.38797025247231,17.6591443030623,18.4136293737366,-3.01906606644049,-3.20801104896738,-2.83210116860898,0.0290970075320298,0.000839335141160274,0.0288670061783949,0.0293296359519555,0.0082257690210872,0.00807823554191399,0.00837320745122813,1.7055174,0.0504913749999998,0.799427644489264,0.7,2.06556,2.06072,0.177145165753504,0.839472214832887
alpha_0p9,Alpha 0.9,alpha,0.9,50,0,50,0.0222738125937964,21.0231201768508,1.45031757590642,20.6408520516071,21.4320704689674,-0.0259594445844993,-0.0398245993508362,-0.015017434385832,0.0208726899051507,0.000641353169684963,0.0206913538480665,0.0210456685442922,1.45139420816447e-06,-9.61964218346869e-07,4.14952639068574e-06,1.7121027,0.0336434999999999,0.798807738491813,0.7,2.12368,2.08804,0.0885725828767522,0.839472214832887
alpha_0p99,Alpha 0.99,alpha,0.99,50,0,50,0.0222717555484366,21.0413442344685,1.44688582438879,20.6539627564057,21.4486835367991,-0.00773538696687062,-0.016206417610333,-0.00166010011133531,0.0208710911642033,0.00064185740788881,0.0206962356133091,0.0210372808999011,-1.47346739290122e-07,-1.81008360606362e-06,1.53606058432542e-06,1.72069435,0.0462547,0.799245113970215,0.7,2.12388,2.08808,0.0885725828767522,0.839472214832887
theta_1,Theta multiplier 1,theta,1,50,0,50,0.0223387104100704,20.4829177164199,1.54647383718088,20.06908599339,20.9142681147785,-0.566161905015478,-0.644467156654426,-0.491523764815232,0.0208696561573599,0.00063842493078842,0.020689722636515,0.0210433765970002,-1.58235358269691e-06,-8.93414623722471e-06,5.86207861032846e-06,1.7130847,0.0465288500000001,0.793312956912092,0.7,2.12204,2.0858,0.0885725828767522,0.279824071610962
theta_6,Theta multiplier 6,theta,6,50,0,50,0.0222671634933201,21.12208714516,1.43730761543746,20.7333038163918,21.5228825771973,0.0730075237246299,0.0447584973932308,0.110818107352292,0.0208720585006789,0.000644993642061657,0.0206900722573355,0.0210429518889635,8.19989736303636e-07,-4.11485917527703e-07,2.07996093379713e-06,1.71605605,0.028409675,0.799790111099563,0.7,2.124,2.08828,0.0885725828767522,1.67894442966577
mu_0p001,Mu 0.001,mu,0.001,50,0,50,0.0222639236956836,21.2428940629113,1.5929257198157,20.8183748883886,21.6864112660474,0.193814441475989,0.00111325744718633,0.414087139096138,0.0209221507305378,0.000597929502432273,0.0207515186215995,0.0210873450016866,5.09122195952162e-05,-4.92101259898709e-05,0.000165926010979014,1.71386205,0.0339831249999998,0.799427644489264,0.7,2.1268,2.09196,0.0885725828767522,0.839472214832887
mu_0p1,Mu 0.1,mu,0.1,50,0,50,0.0225265116808914,20.7281393835823,1.28622979726038,20.3761974646783,21.0847661571846,-0.320940237853009,-0.552392388887104,-0.102339243292059,0.0210964854689994,0.000570241367142409,0.0209426388756374,0.0212523128362447,0.000225246958056809,8.96654706799158e-05,0.000357006688519641,1.71488795,0.040972725,0.799427644489264,0.7,2.12232,2.08384,0.0885725828767522,0.839472214832887
rank_3,Estimated rank 3,rank,3,50,0,50,0.638659049194553,37.8397127553011,0.882330590324596,37.5943778929204,38.0810161944347,16.7906331338658,16.3803006539223,17.1800692955138,0.632388636756573,0.00863208109013118,0.63004331281242,0.634831175445,0.61151739824563,0.609093084115105,0.613964987569614,1.3711947,0.02408085,0.799427644489264,0.7,2.994,2.99084,0.0885725828767522,0.839472214832887
rank_7,Estimated rank 7,rank,7,50,0,50,0.0261026248769679,16.2482348143775,1.13196613258018,15.9396298135262,16.5651839525889,-4.80084480705788,-5.17300430392678,-4.43807358896251,0.0267956704636305,0.00167981798584003,0.0263288354075425,0.0272560783833039,0.00592443195268795,0.00543695841330106,0.00640404735942599,1.91760225,0.0415145500000003,0.799427644489264,0.7,2.52276,2.52492,0.0885725828767522,0.839472214832887
irls_1,IRLS iterations 1,irls,1,50,0,50,0.0223369657332732,20.952161306407,1.45780549772036,20.561898198718,21.3747520209512,-0.0969183150283683,-0.258666921027396,0.073500680902935,0.0209625187506638,0.000641363691297972,0.0207834572818378,0.0211365892073076,9.12802397212302e-05,2.56758296363194e-05,0.0001585937018866,1.6049829,0.04501935,0.799427644489264,0.7,1,1,0.0885725828767522,0.839472214832887
irls_5,IRLS iterations 5,irls,5,50,0,50,0.0222852566716282,21.204381948027,1.55004781745015,20.7895980801629,21.6333764644673,0.155302326591674,0.0457025944093895,0.283000837085015,0.0209640378370095,0.000598832658892368,0.0207993731027232,0.0211261133685065,9.27993260668988e-05,4.58964874204377e-05,0.000147529339379501,1.715146,0.0378495249999999,0.799427644489264,0.7,2.2482,2.20152,0.0885725828767522,0.839472214832887
